,station_index,pm2_5_AVG,pm10_0_atm,date,name,latitude,longitude,altitude,pm2_5_station_median,pm10_0_station_median,pm10_0_daily_median,pm10_0_diff,pm2_5_daily_median,pm2_5_diff,way,distance
42,3225,13.9,19.2,2017-10-27,Wilburton,47.614223,-122.1695,210,3.8,5.1,18.5,0.6999999999999993,13.25,0.6500000000000004,623957745,1.4283923854838974
43,3225,17.2,23.5,2017-10-28,Wilburton,47.614223,-122.1695,210,3.8,5.1,26.8,-3.3000000000000007,19.25,-2.0500000000000007,623957745,1.4283923854838974
44,3225,26.8,38.2,2017-10-29,Wilburton,47.614223,-122.1695,210,3.8,5.1,42.05,-3.8499999999999934,28.75,-1.9499999999999995,623957745,1.4283923854838974
45,3225,24.4,35.1,2017-10-30,Wilburton,47.614223,-122.1695,210,3.8,5.1,30.65,4.450000000000003,21.5,2.8999999999999986,623957745,1.4283923854838974
46,3225,13.6,18.9,2017-10-31,Wilburton,47.614223,-122.1695,210,3.8,5.1,21.4,-2.5,15.25,-1.6500000000000004,623957745,1.4283923854838974
47,3225,9.2,12.7,2017-11-01,Wilburton,47.614223,-122.1695,210,3.8,5.1,13.75,-1.0500000000000007,9.95,-0.75,623957745,1.4283923854838974
48,3225,1.9,2.5,2017-11-02,Wilburton,47.614223,-122.1695,210,3.8,5.1,3.35,-0.8500000000000001,2.5,-0.6000000000000001,623957745,1.4283923854838974
49,3225,4.9,6.7,2017-11-03,Wilburton,47.614223,-122.1695,210,3.8,5.1,6.65,0.0499999999999998,4.75,0.1500000000000003,623957745,1.4283923854838974
50,3225,16.9,24.0,2017-11-04,Wilburton,47.614223,-122.1695,210,3.8,5.1,20.4,3.6000000000000014,14.3,2.6,623957745,1.4283923854838974
51,3225,8.2,11.4,2017-11-05,Wilburton,47.614223,-122.1695,210,3.8,5.1,14.6,-3.200000000000001,10.0,-1.8000000000000007,623957745,1.4283923854838974
52,3225,20.5,29.5,2017-11-06,Wilburton,47.614223,-122.1695,210,3.8,5.1,25.7,3.8000000000000007,17.8,2.6999999999999997,623957745,1.4283923854838974
53,3225,10.5,14.9,2017-11-07,Wilburton,47.614223,-122.1695,210,3.8,5.1,17.5,-2.6,12.25,-1.75,623957745,1.4283923854838974
54,3225,10.0,13.8,2017-11-08,Wilburton,47.614223,-122.1695,210,3.8,5.1,14.05,-0.25,10.1,-0.0999999999999996,623957745,1.4283923854838974
55,3225,5.6,7.5,2017-11-09,Wilburton,47.614223,-122.1695,210,3.8,5.1,9.4,-1.9000000000000004,6.85,-1.25,623957745,1.4283923854838974
56,3225,3.0,3.9,2017-11-10,Wilburton,47.614223,-122.1695,210,3.8,5.1,5.55,-1.65,4.15,-1.1500000000000004,623957745,1.4283923854838974
57,3225,10.0,13.8,2017-11-11,Wilburton,47.614223,-122.1695,210,3.8,5.1,17.4,-3.599999999999998,12.4,-2.4000000000000004,623957745,1.4283923854838974
58,3225,2.4,3.1,2017-11-12,Wilburton,47.614223,-122.1695,210,3.8,5.1,3.35,-0.25,2.6,-0.1999999999999997,623957745,1.4283923854838974
59,3225,1.9,2.5,2017-11-13,Wilburton,47.614223,-122.1695,210,3.8,5.1,3.1,-0.6000000000000001,2.35,-0.4499999999999997,623957745,1.4283923854838974
60,3225,0.7,0.8,2017-11-14,Wilburton,47.614223,-122.1695,210,3.8,5.1,1.25,-0.4499999999999999,1.0499999999999998,-0.3499999999999998,623957745,1.4283923854838974
61,3225,0.8,0.9,2017-11-15,Wilburton,47.614223,-122.1695,210,3.8,5.1,1.8,-0.9,1.4500000000000002,-0.6500000000000001,623957745,1.4283923854838974
62,3225,2.0,2.6,2017-11-16,Wilburton,47.614223,-122.1695,210,3.8,5.1,3.05,-0.4499999999999997,2.3,-0.2999999999999998,623957745,1.4283923854838974
63,3225,1.6,2.1,2017-11-17,Wilburton,47.614223,-122.1695,210,3.8,5.1,2.1500000000000004,-0.0500000000000002,1.65,-0.0499999999999998,623957745,1.4283923854838974
64,3225,1.8,2.3,2017-11-18,Wilburton,47.614223,-122.1695,210,3.8,5.1,3.8,-1.5,2.85,-1.05,623957745,1.4283923854838974
65,3225,3.7,5.0,2017-11-19,Wilburton,47.614223,-122.1695,210,3.8,5.1,6.7,-1.7000000000000002,4.85,-1.1499999999999997,623957745,1.4283923854838974
66,3225,3.1,4.1,2017-11-20,Wilburton,47.614223,-122.1695,210,3.8,5.1,4.1,0.0,3.1,0.0,623957745,1.4283923854838974
